ORDER	FAMILY	PRIMARY_COM_NAME	SPECIES_CODE
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Pearl Kite	peakit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black-winged Kite	bkskit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black-shouldered Kite	auskit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	White-tailed Kite	whtkit
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Letter-winged Kite	lewkit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Scissor-tailed Kite	sctkit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	African Harrier-Hawk	afhhaw1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Madagascar Harrier-Hawk	mahhaw1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Palm-nut Vulture	panvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Madagascar Serpent-Eagle	maseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Bearded Vulture	lammer1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Egyptian Vulture	egyvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Hook-billed Kite	hobkit
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Cuban Kite	hobkit2
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Gray-headed Kite	grhkit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	White-collared Kite	whckit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	European Honey-buzzard	euhbuz1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Sulawesi Honey-buzzard	barhob1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Philippine Honey-buzzard	barhob2
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Oriental Honey-buzzard	orihob2
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Swallow-tailed Kite	swtkit
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black-breasted Kite	bkbkit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Long-tailed Honey-buzzard	lthbuz1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black Honey-buzzard	blhbuz1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Square-tailed Kite	sqtkit1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	African Cuckoo-Hawk	afrcuh1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Madagascar Cuckoo-Hawk	madcuh1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Jerdon's Baza	jerbaz1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Pacific Baza	pacbaz1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black Baza	blabaz1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Red-headed Vulture	rehvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	White-headed Vulture	whhvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Cinereous Vulture	cinvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Lappet-faced Vulture	lafvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Hooded Vulture	hoovul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	White-backed Vulture	whbvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	White-rumped Vulture	whrvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Indian Vulture	indvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Slender-billed Vulture	slbvul1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Rüppell's Griffon	ruegri1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Himalayan Griffon	himgri1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Eurasian Griffon	eurgri1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Cape Griffon	capgri1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Nicobar Serpent-Eagle	nicsee1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Sulawesi Serpent-Eagle	suseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Mountain Serpent-Eagle	moseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Crested Serpent-Eagle	crseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Philippine Serpent-Eagle	phseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Andaman Serpent-Eagle	anseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Philippine Eagle	grpeag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Congo Serpent-Eagle	coseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Bateleur	batele1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Short-toed Snake-Eagle	shteag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Beaudouin's Snake-Eagle	beasne1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black-chested Snake-Eagle	bkbsne1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Brown Snake-Eagle	brseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Fasciated Snake-Eagle	faseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Banded Snake-Eagle	baseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Bat Hawk	bathaw1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	New Guinea Eagle	negeag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Crested Eagle	creeag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Harpy Eagle	hareag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Crowned Eagle	crheag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Legge's Hawk-Eagle	mouhae2
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Wallace's Hawk-Eagle	walhae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Mountain Hawk-Eagle	mouhae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Blyth's Hawk-Eagle	blyhae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Javan Hawk-Eagle	javhae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Pinsker's Hawk-Eagle	pinhae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Sulawesi Hawk-Eagle	sulhae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Philippine Hawk-Eagle	phihae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Changeable Hawk-Eagle	y00839
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Flores Hawk-Eagle	flohae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Martial Eagle	mareag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Rufous-bellied Eagle	rubeag2
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black Hawk-Eagle	blheag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Ornate Hawk-Eagle	orheag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black-and-white Hawk-Eagle	bawhae1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black-and-chestnut Eagle	baceag2
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Long-crested Eagle	loceag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Black Eagle	blaeag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Lesser Spotted Eagle	leseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Indian Spotted Eagle	inseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Greater Spotted Eagle	grseag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Wahlberg's Eagle	waheag3
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Booted Eagle	booeag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Pygmy Eagle	liteag3
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Little Eagle	liteag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Ayres's Hawk-Eagle	ayheag1
Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)	Tawny Eagle	taweag1
